locatiecode,wgs84_lon,wgs84_lat,Overall_status_weighted
BBO005,5.002566909327209,52.25047402995256,Potential stress
BBO006,5.000415706794526,52.25030522782042,Potential stress
BBO008,5.002880825892184,52.27178523351152,Potential stress
BBO009,4.986512553518914,52.26887275920027,Potential stress
BBO010,4.991101217537338,52.27838835933872,Potential stress
BBO011,4.979017281550037,52.2698627436292,Potential stress
BBO012,5.000585468065991,52.25267857907767,Potential stress
BBO014,4.976424371450048,52.2714266349825,Potential stress
BBO015,4.985872995774308,52.268313343620655,Potential stress
BBO016,5.000999760080891,52.24712543276048,Potential stress
BBO017,5.004389595072187,52.242867222576,Potential stress
BBO018,4.997688736228737,52.2690808796185,Potential stress
BBO019,4.9851630013014505,52.2690659098812,Potential stress
BBO107,4.999767290050491,52.270966166646375,Unknown
BBO129,5.010528128922911,52.26492516715522,Unknown
BBO130,5.007868110191858,52.24187179773689,Unknown
BBO162,4.985785824587019,52.26336074454427,Unknown
BBO181,4.983387385223533,52.264547959655154,In danger
BBO182,4.984038582733812,52.26381317871258,In danger
BBV001,4.861137625316485,52.34064361114151,Potential stress
BEA001,4.879292517699789,52.34420118891448,Potential stress
BER001,4.938039440127605,52.3888738789685,Potential stress
BKP001,4.877303357287102,52.2720562910311,Potential stress
BKP002,4.859574573536331,52.27459397096648,Potential stress
BKP003,4.86621650268065,52.27045304253401,Potential stress
BKP004,4.865220742220867,52.26791406004819,Potential stress
BKP005,4.856376977789002,52.267515159641846,Potential stress
BKP006,4.867649336565892,52.274467952011285,Potential stress
BKP007,4.879263235529281,52.29416591200162,Potential stress
BKP008,4.869458472158353,52.277648615126296,Potential stress
BKP009,4.866956376109208,52.27358409055901,Potential stress
BKP015,4.848629232594009,52.3000252717727,Potential stress
BKP016,4.851408827784044,52.30051425394623,Potential stress
BKP017,4.867232361221225,52.29384398848696,Potential stress
BKP020,4.866514731218656,52.28252509772814,Potential stress
BKP028,4.848334644351121,52.28320760739504,Potential stress
BKP030,4.860434977047066,52.29225900338201,Potential stress
BKP031,4.869692085592922,52.26008727251239,Potential stress
BKP032,4.851094337028703,52.26702394683068,In danger
BKP033,4.851094445319328,52.26701495940251,In danger
BKP034,4.851094337028703,52.26702394683068,In danger
BKP035,4.851094445319328,52.26701495940251,In danger
BKP047,4.880721199139432,52.284564139663495,Potential stress
BKP048,4.878582985532815,52.2716213967463,Potential stress
BKP049,4.859850929377362,52.25128053805392,Potential stress
BKP050,4.854560655236575,52.26259958450448,Potential stress
BKP051,4.8535558402662735,52.25844262904081,In danger
BKP052,4.8613792303556105,52.28802092953374,In danger
BKP120,4.84462292923663,52.2751284833341,Unknown
BKP134,4.839758765335915,52.25009263796159,Potential stress
BKP136,4.860638735940483,52.25029537756637,Unknown
BKP146,4.882665749960356,52.28626217255815,Unknown
BKP166,4.835494085038659,52.26453440880595,Unknown
BLM001,4.990563481583158,52.32225593489564,Potential stress
BLM002,4.960470474949457,52.31561712065648,Potential stress
BLM003,4.980347664865652,52.32943840759616,Potential stress
BLM005,4.965248974123229,52.32359741923262,Potential stress
BLM006,4.963254500976352,52.30818524953245,Potential stress
BLM007,4.95464905294024,52.3049903922156,Potential stress
