Datum,Aantal,Locatie,Latitude,Longitude
2023-09-13,1,Amsterdam - Sloterpark (Noord-Holland),,
2023-09-12,1,Amsterdam - Nieuwe Diep - Nesciobrug (Noord-Holland),,
2023-09-12,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2023-09-05,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2023-09-05,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2023-09-04,1,Amsterdam - Gijsbrecht van Amstelpark (Noord-Holland),,
2023-09-03,1,Amsterdam - Noord (Noord-Holland),,
2023-09-03,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2023-09-02,1,Amsterdam - Gaasperpark (Noord-Holland),,
2023-09-02,1,Amsterdam - Vrije Geer (Noord-Holland),,
2023-09-01,1,Amsterdam - Noord (Noord-Holland),,
2023-09-01,1,Amsterdam - Gijsbrecht van Amstelpark (Noord-Holland),,
2023-09-01,1,Amsterdam - Gijsbrecht van Amstelpark (Noord-Holland),,
2023-09-01,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2023-08-31,1,Amsterdam - Noord (Noord-Holland),,
2023-08-22,1,Amsterdamse Bos (Noord-Holland),52.3115707,4.8283374
2023-08-22,1,Amsterdamse Bos - Schotse Hooglanders / Camping (Noord-Holland),,
2023-08-18,1,Amsterdamse Bos - Schotse Hooglanders / Camping (Noord-Holland),,
2023-08-10,1,Amsterdam - NT Klarenbeek (Noord-Holland),,
2023-08-08,1,Amsterdam - Indische Buurt (Noord-Holland),,
2023-08-08,1,Amsterdam - Schellingwoude (Noord-Holland),52.3836735,4.9452278
2023-08-08,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-08-07,1,Amsterdam - Beatrixpark (Noord-Holland),,
2023-08-07,1,Amsterdam - Het Ruige Riet (Noord-Holland),,
2023-08-07,1,Amsterdam - Osdorper Bovenpolder (Noord-Holland),,
2023-08-07,1,Amsterdam - Vondelpark (Noord-Holland),52.3611389,4.8780228
2023-08-06,1,Amsterdam - Baanakkerspark (Noord-Holland),,
2023-08-04,1,Amstel - t.h.v. Amsterdam (Noord-Holland),,
2023-08-04,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2023-08-04,1,Amsterdam - Schellingwouderbreek (Noord-Holland),,
2023-08-03,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2023-08-02,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-08-02,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-08-01,1,Amsterdam - Nieuwe Oosterbegraafplaats (Noord-Holland),,
2023-08-01,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2018-06-28,1,Amsterdam - Oost (Noord-Holland),,
2023-07-31,1,Amsterdam - Zorgvlied (Noord-Holland),,
2023-07-31,1,Amsterdam - Volkstuincomplex Sloterdijkermeer / Nut en Genoegen (Noord-Holland),,
2023-07-29,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2023-07-29,1,Amsterdam - Amstelpark (Noord-Holland),52.3260216,4.8938658
2023-07-29,1,Amsterdam - Gaasperpark (Noord-Holland),,
2023-07-25,1,Amsterdam - Sloterpark (Noord-Holland),,
2023-07-24,1,Amsterdam - Indische Buurt (Noord-Holland),,
2023-07-23,3,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2023-07-23,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2023-07-23,2,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2023-07-23,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2023-07-23,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2023-07-23,1,Amsterdam - Amstelpark (Noord-Holland),52.3260216,4.8938658
2023-07-17,3,Amsterdam - Rivierenbuurt (Noord-Holland),,
2023-07-16,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-11-07,1,A1 - Amsterdam tot Naarden (Noord-Holland),,
2023-10-07,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-10-07,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2023-09-07,2,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2023-08-07,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2023-07-07,1,Amsterdam - Sloterpark (Noord-Holland),,
2023-06-27,1,Amsterdam - Zuidoost (Noord-Holland),,
2023-06-17,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2023-06-16,1,Amsterdam - Sportpark Ookmeer (Noord-Holland),,
2023-05-06,1,Amsterdam - Nieuw Sloten (Noord-Holland),,
2023-05-24,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2023-06-05,1,Amsterdamse Bos - Polder Meerzicht (Noord-Holland),,
2023-06-05,1,Amsterdamse Bos - Polder Meerzicht (Noord-Holland),,
2023-03-05,1,Amsterdam - Indische Buurt (Noord-Holland),,
2023-04-13,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2023-02-04,1,Amsterdam - Beatrixpark (Noord-Holland),,
2023-03-29,1,Amsterdam - Beatrixpark (Noord-Holland),,
2023-03-19,5,Amsterdam - Gaasperplas (Noord-Holland),52.3029013,4.9975172
2023-03-15,1,Amsterdam Bos (Noord-Holland),,
2023-02-24,1,Amsterdam - Zorgvlied (Noord-Holland),,
2023-01-15,1,Amsterdam - Groot-Duivendrechtsche Polder (Noord-Holland),,
2023-01-13,1,Amsterdam - Watergraafsmeer - Sportvelden (Noord-Holland),,
2022-11-30,2,Amsterdam - Sloterpark (Noord-Holland),,
2022-11-30,4,Amsterdam - Sloterpark (Noord-Holland),,
2022-06-11,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2022-05-11,1,Amsterdam - Watergraafsmeer (Noord-Holland),52.3442309,4.9557349
2022-04-11,1,Amsterdamse Bos - Stoas Hooglanders / Camping (Noord-Holland),,
2022-10-23,1,Amsterdam - Gaasperplas (Noord-Holland),52.3029013,4.9975172
2022-10-23,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2022-10-23,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2022-10-15,1,Amsterdam - Sloterpark (Noord-Holland),,
2022-01-10,1,Amsterdam Bos - Zonneweide / Verlengde Oude Karselaan (Noord-Holland),,
2022-01-10,1,Amsterdamse Bos - Radar­terr­ein (Noord-Holland),,
2022-09-30,1,Amsterdam - Flevopark (Noord-Holland),,
2022-09-27,1,Amsterdamse Bos - Koenenkade (Noord-Holland),52.3281737,4.8357511
2022-09-25,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
2022-09-24,1,Amsterdam - Sportpark Ookmeer (Noord-Holland),,
2022-09-14,1,Amsterdam - Airport Schiphol (Noord-Holland),52.3269801,4.7415053
2022-09-13,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
2022-09-13,1,Amsterdam - Osdorpse Binnenpolder-Zuid (Noord-Holland),,
2022-11-09,1,Amsterdam - Zuidoost (Noord-Holland),52.2996907,4.9474238
2022-10-09,1,Amsterdam - Sloterdijk (Noord-Holland),52.3890317,4.8381062
2022-08-09,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2022-07-09,1,Amsterdam - Gaasperpark (Noord-Holland),,
2022-07-09,1,Amsterdamse Bos - Radarterrein (Noord-Holland),,
2022-08-29,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
2022-08-28,1,Amsterdam - De Aker (Noord-Holland),,
2022-08-26,1,Amsterdam - Rembrandtpark (Noord-Holland),52.3681503,4.8442021
2022-08-18,1,Amsterdam - Kalfjeslaan / 't Kleine Loopveld (Noord-Holland),,
2022-08-18,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2022-08-08,1,Amsterdam - Osdorp (Noord-Holland),52.3500723,4.795154
2022-07-08,1,Amsterdam - Gaasperpark (Noord-Holland),,
2022-07-08,1,Amsterdam - De Aker (Noord-Holland),,
2022-06-08,1,Amsterdam - Slotervaart (Noord-Holland),52.3483923,4.8411914
2022-04-08,1,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
2022-07-08,1,Amsterdamse Bos - Radarterrein (Noord-Holland),,
2022-02-08,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
2022-07-30,1,Amsterdam - Alblardgracht (Noord-Holland),,
2022-07-30,1,Amsterdam - Alblardgracht (Noord-Holland),,
2022-07-26,1,A10 - Amsterdam (Noord-Holland),,
2022-07-21,1,Amsterdam - Groot-Duivendrechtsche Polder (Noord-Holland),,
2022-07-20,1,Amsterdam - Zuidoost (Noord-Holland),,
2022-09-07,2,Amsterdam - NT Klarenbeek (Noord-Holland),,
2022-04-07,2,Amsterdam - Sloterpark (Noord-Holland),,
2022-03-07,1,Amsterdamse Bos - Koenenbos (Noord-Holland),,
2022-06-29,1,Amsterdam - De Hoge Dijk (Noord-Holland),,
2022-12-06,1,Amsterdam - NT Klarenbeek (Noord-Holland),,
2022-03-06,1,Amsterdam - Nieuwe Meer - Overlanden Noord (Noord-Holland),,
2022-05-27,1,Amsterdam - Wilmkebreek - Dijktaul en kwelzone (Noord-Holland),,
2022-05-17,1,Amsterdam - NT Klarenbeek (Noord-Holland),,
2022-03-16,6,Amsterdamse Bos - Radarterrein (Noord-Holland),,
2022-07-03,1,Amsterdam - Siegerpark (Noord-Holland),,
2022-02-24,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2022-02-22,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2022-02-22,1,Amsterdam - Volkstuincomplex Amstelglorie (Noord-Holland),,
2022-08-01,1,Amsterdamse Bos - Zonneweide / Verlengde Oude Karselaan (Noord-Holland),,
2022-06-01,1,Amsterdam - Buitenveldert (Noord-Holland),52.3344208,4.8965712
2021-11-24,1,Amsterdamse Bos - Grote Kinderbad / Bostheater (Noord-Holland),,
2021-11-24,2,Amsterdam - Nieuwe Meer (+Overlanden) (Noord-Holland),,
2021-11-23,1,Amsterdam - Kadoelen (Noord-Holland),52.4200973,4.9086004
2021-10-29,1,Amsterdamse Bos - Radarterrein (Noord-Holland),,
2021-10-25,1,Amstel - t.h.v. Amsterdam (Noord-Holland),,
2021-10-17,4,Amsterdamse Bos - Bosbaan / Duizendmeterweg (Noord-Holland),,
